書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1989年03月号,99,今後約5年間の重要な技術――Bill Joy氏，日本サン・マイクロシステムズユーザ・グループ 第1回シンポジウム基調講演の概要……bit編集部
bit 1989年03月号,106,7bits たかがProlog，されどProlog……THEMSKY
bit 1989年03月号,112,マイコン・トピックス J-3100自由自在……前田英明
bit 1989年03月号,114,アレフ・ゼロ
bit 1989年03月号,121,新しいプログラミング・パラダイム⑰ カテゴリカル・プログラミング……横内寛文
bit 1989年03月号,133,まにゅある倶楽部㉒ ドキュメント文化の高揚を願って……福島秀明
bit 1989年03月号,134,日本語の情報化技術③ 言語科学の歩み……横井俊夫
bit 1989年03月号,141,単語帖
bit 1989年03月号,142,OS/2入門⑩ BASICによるマルチタスキング……石田晴久
bit 1989年03月号,149,bitレーダー
bit 1989年03月号,150,プログラムの設計論㉒ 「構造化」って何だろナ……戸川隼人
bit 1989年03月号,152,コンピューティングの玉手箱(51) 2値画像の正規化表現と符号化……小川克彦
bit 1989年03月号,154,ナノピコ教室出題(動詞活用)……平賀讓
bit 1989年03月号,155,ナノピコ教室――解答(簡単整列)……大駒誠一
bit 1989年03月号,158,ぶっくす
bit 1989年04月号,1,表紙
bit 1989年04月号,3,目次
bit 1989年04月号,5,コンピュータ・サイエンスの教育と学習……川合慧
bit 1989年04月号,6,欧米における一般情報処理教育の実態……川添良幸，矢鳴虎夫
bit 1989年04月号,15,情報システムを教える――情報大だより……山本毅雄
bit 1989年04月号,23,アレフ・ゼロ プロの見る卓上電子出版ソフト
bit 1989年04月号,24,ハイパーキューブ・マルチプロセッサ――インテルiPSCを中心に……阿部譲司
bit 1989年04月号,36,まにゅある倶楽部㉓ マニュアルが無視されるとき………内野忠治
bit 1989年04月号,43,単語帖――決定不能問題，文脈自由方法，ラムダ計算，正規形
bit 1989年04月号,44,HyperCardとその教育への応用……齋藤栴朗
bit 1989年04月号,53,7bits HyperCardの正しい利用法……THEMSKY
bit 1989年04月号,63,日本語の情報化技術④ 言語処理技術 コンピュータ上の日本語……横井俊夫
bit 1989年04月号,71,bit悪魔の辞典
bit 1989年04月号,72,マイコン・トピックス 末はMACかNeXTか……前田英明
bit 1989年04月号,74,グループ化の進むRISC……鹿子木昭介
bit 1989年04月号,83,5月号予告
bit 1989年04月号,84,オペレーティング・システムの設計 OS/omicronなどを例として⑬ 多重オペーティング・システムOS/N(第1版)の実現……高橋延匡
bit 1989年04月号,99,OS/2入門⑪ ファイルシステムと入出力サブシステム……鷹野澄
bit 1989年04月号,112,新しいプログラミング・パラダイム(完) 最大公約数 普遍代数，多項式イデアル，自動証明におけるユークリッドの互除法……外山芳人
bit 1989年04月号,126,プログラムの設計論㉓ テレホン・カードを活用しよう……戸川隼人
bit 1989年04月号,128,コンピューティングの玉手箱(52) アルファ・ベータ手続き……柴田芳明
bit 1989年04月号,130,bitレーダー
bit 1989年04月号,137,ナノピコ教室出題(チューリング機械)……高田正之
bit 1989年04月号,138,ナノピコ教室解答(関数電卓のパズル)……田村直之
bit 1989年04月号,142,ぶっくす
bit 1989年05月号,1,表紙
bit 1989年05月号,3,目次
bit 1989年05月号,5,超並列処理と研究教育体制……富田眞治
bit 1989年05月号,6,推理小説に現われたコンピュータ犯罪――手口と教訓……犬伏茂之
bit 1989年05月号,14,マイコン・トピックス 古きをたずね新しきを知る……前田英明
bit 1989年05月号,16,CLUとその仲間たち① プログラム言語CLU(その1)……久野靖
bit 1989年05月号,24,bit悪魔の辞典
bit 1989年05月号,25,神経回路モデルとニューロコンピューティング……川人光男
bit 1989年05月号,41,アレフ・ゼロ Mac版ゲームソフト二題……S.P.
bit 1989年05月号,42,自然言語辞書の検索 ダブル配列による高速ディジタル検索アルゴリズム……青江順一
bit 1989年05月号,51,日本語の情報化技術⑤ 電子化辞書技術 ①意味を求めて……横井俊夫
bit 1989年05月号,63,グラフィカルなユーザインタフェースとその開発環境について……萩谷昌己
bit 1989年05月号,75,Common Lisp最前線① マクロがもたらすもの……井田昌之
bit 1989年05月号,80,7bits どこかで，誰かが……THEMSKY
bit 1989年05月号,88,コンピューティングの玉手箱(53) 準ニュートン法……相吉英太郎
bit 1989年05月号,90,プログラムの設計論㉔ CD-ROMの時代の到来……戸川隼人
bit 1989年05月号,92,ナノピコ教室出題(アッパーハンド)……南雲夏彦
bit 1989年05月号,94,まにゅある倶楽部㉔ 読んでもらうための工夫……鳥居夏子
bit 1989年05月号,101,単語帖――CASE，エキスパート・システム，問題解決，HyperCard
bit 1989年05月号,102,オペレーティング・システムの設計 OS/omicronなどを例として⑭ 日本語プログラミング環境の実現……高橋延匡
bit 1989年05月号,113,bitレーダー
bit 1989年05月号,114,OS/2入門⑫ OS/2のデバイス管理……鷹野澄
bit 1989年05月号,133,ナノピコ教室解答(CTank)……真野芳久
bit 1989年05月号,135,6月号予告
bit 1989年05月号,136,ぶっくす
bit 1989年06月号,1,表紙
bit 1989年06月号,3,目次
bit 1989年06月号,5,情報の倫理……植村俊亮
bit 1989年06月号,6,パネル討論会 Japan SIAMを考える……森正武，藤井宏，武田康嗣，戸田巌，藤田宏，伊理正夫
bit 1989年06月号,19,米国主要大学におけるキャンパス・ネットワーキング――カーネギーメロン大学①……川添良幸，静谷啓樹
bit 1989年06月号,34,7月号予告
bit 1989年06月号,35,アレフ・ゼロ――ソフトウェア工場やるしかない……JRG
bit 1989年06月号,36,まにゅある倶楽部㉕ ユーザマニュアル制作へのモニタ調査の導入……簑輪精久
bit 1989年06月号,43,徳山高専の24時間無休LAN そこの哀れな神様たちのお話……河村知行
bit 1989年06月号,53,7bits AIの不完全性……THEMSKY
bit 1989年06月号,61,CLUとその仲間たち② プログラム言語CLU(その2))……久野靖
bit 1989年06月号,68,Common Lisp最前線② CLUE Common Lispユーザ・インタフェース環境……川辺治之
bit 1989年06月号,72,マイコン・トピックス MC68030花盛り……前田英明
bit 1989年06月号,74,単語帖――メタ・プログラミング，導出原理，知識表現，推論エンジン
bit 1989年06月号,81,人工知能の研究者たち① オリジナルペーパを書き続ける長老 H.A.サイモン……溝口文雄
bit 1989年06月号,89,日本語の情報化技術⑥ 電子化辞書技術 ②言葉の知識ベース……横井俊夫
bit 1989年06月号,103,bitレーダー
bit 1989年06月号,104,プログラムの設計論㉕ 虫占いもCASEのうち……戸川隼人
bit 1989年06月号,106,コンピューティングの玉手箱(54) 抵抗直線……柴田宏
bit 1989年06月号,108,オペレーティング・システムの設計 OS/omicronなどを例として⑮ OS/omicronタスク管理(第2版)の実現……高橋延匡
bit 1989年06月号,133,bit悪魔の辞典
bit 1989年06月号,134,OS/2入門⑬ プレゼンテーションマネジャ(1)……鷹野澄
bit 1989年06月号,142,ナノピコ教室出題(プログラム変換のパズル)……有澤誠
bit 1989年06月号,143,ナノピコ教室解答(動詞活用)……平賀譲
bit 1989年06月号,146,ぶっくす
bit 1989年07月号,1,表紙
bit 1989年07月号,3,目次
bit 1989年07月号,5,寡黙な研究者への応援歌……弓場敏嗣
bit 1989年07月号,6,人工知能の研究者たち② 人工知能カリスマ M.ミンスキー……溝口文雄
bit 1989年07月号,15,7bits たかがシンタクス，されど辛多苦す……THEMSKY
bit 1989年07月号,21,座談会 TransputerとOccam 理論的モデルによる並列処理コンピュータと言語をめぐって……國井利泰，デービット・メイ，渕一博，中村維男
bit 1989年07月号,41,米国主要大学におけるキャンパス・ネットワーキング② マサチューセッツ工科大学……川添良幸，静谷啓樹
bit 1989年07月号,51,アレフ・ゼロ――たかがCASE，そしてCASE
bit 1989年07月号,52,Common Lisp最前線③ Lisp対C……湯浦克彦
bit 1989年07月号,60,S言語の誕生……柴田里程
bit 1989年07月号,67,bit悪魔の辞典
bit 1989年07月号,68,マイコン・トピックス Do it yourself.……前田英明
bit 1989年07月号,70,プログラムの設計論㉖ 濫開発を自粛しよう……戸川隼人
bit 1989年07月号,72,単語帖 カーマーカー法，マージ，計算幾何学，スプライン関数
bit 1989年07月号,77,日本語の情報化技術⑦ コンピュータの書物――文書処理技術……横井俊夫
bit 1989年07月号,85,まにゅある倶楽部㉖ 「複難さ」と「難しさ」をときほぐすこと――「わかりやすい」表現のために……笹井実
bit 1989年07月号,86,新価格性能比競争始まる まず，EWS，スーパーミニコン市場で……栗田昭平
bit 1989年07月号,101,オペレーティング・システムの設計 OS/omicronなどを例として(完) OS/omicronの最近の話題……高橋延匡
bit 1989年07月号,127,CLUとその仲間たち③ プログラム言語CLU(その3)……久野靖
bit 1989年07月号,135,8月号予告
bit 1989年07月号,136,0S/2入門⑭ プレゼンテーションマネジャ(2)……鷹野澄
bit 1989年07月号,145,bitレーダー
bit 1989年07月号,146,コンピューティングの玉手箱(55) コスト最小の極大木――クラスカルのアルゴリズム……大野輝雄，永田守男
bit 1989年07月号,148,ナノピコ教室出題(21世紀の交通事情は)……富樫敦
bit 1989年07月号,150,ナノピコ教室解答(チューリング機械)……高田正之
bit 1989年07月号,156,ぶっくす
bit 1989年08月号,1,表紙
bit 1989年08月号,3,目次
bit 1989年08月号,5,数学者とコンピュータ……佐藤雅彦
bit 1989年08月号,6,スティーブ・ジョブズと会う……ピーター J.デニング，カレン A.フレンケル，栗田昭平
bit 1989年08月号,16,bit悪魔の辞典
bit 1989年08月号,17,新たなる挑戦 NeXTのソフトウェア……西尾高幸
bit 1989年08月号,22,マルチプロセッサ・ワークステーションのOS……山崎秘砂
bit 1989年08月号,32,マイコン・トピックス アメリカの苦悩……前田英明
bit 1989年08月号,34,プログラムの設計論㉗ ホーム・コンピュータの近未来像……戸川隼人
bit 1989年08月号,36,アレフ・ゼロ――サービスの組織化と品質管理……TRG
bit 1989年08月号,43,まにゅある倶楽部㉗ 「マニュアルの作り方」ミニミニガイド……青柳幸久
bit 1989年08月号,44,並列処理シンポジウムJSPP'89 並列処理への期待と課題……田中英彦，亀田壽夫，斎藤信男，名取亮，野崎昭弘，村岡洋一
bit 1989年08月号,52,並列処理シンポジウムJSPP'89' 並列プログラミングはこれから……米澤明憲，雨宮真人，瀧和男，村岡洋一，山本富士男
bit 1989年08月号,68,米国主要大学におけるキャンパス・ネットワーキング③ スタンフォード大学(前編)……川添良幸，静谷啓樹
bit 1989年08月号,82,7bits ゲームが強くなるために……THEMSKY
bit 1989年08月号,91,Common Lisp最前線④ Common Windows on X……井田昌之，田中啓介
bit 1989年08月号,100,人工知能の研究者たち③ ロジック・プログラミングのゴッドファーザー J.A.ロビンソン……溝口文雄
bit 1989年08月号,109,単語帖――述語論理，不完全性定理，ゲーデルナンバー，カオス
bit 1989年08月号,110,コンピューティングの玉手箱(56) 数論変換による巡回コンボリューション……浜田望
bit 1989年08月号,112,bitレーダー
bit 1989年08月号,117,CLUとその仲間たち④ CLUでOSを作った話(その1)……久野靖
bit 1989年08月号,125,日本語の情報化技術⑧ 現代の百科全書派――知識ベース技術……横井俊夫
bit 1989年08月号,132,9月号予告
bit 1989年08月号,139,OS/2入門⑮ メモリ管理・DOSの互換のボックス……纐纈一起
bit 1989年08月号,147,ナノピコ教室出題(2進10進変換と多倍長計算)……高澤嘉光
bit 1989年08月号,148,ナノピコ教室解答(アッパーハンド)……南雲夏彦
bit 1989年08月号,156,ぶっくす
bit 1989年09月号,1,表紙
bit 1989年09月号,3,目次
bit 1989年09月号,5,安心して買え，使って満足できるソフトウェアを……吉澤正
bit 1989年09月号,6,VLSIニューロコンピュータのアーキテクチャ① 21世紀のスーパーコンピュータを目ざして……阿江忠
bit 1989年09月号,17,アレフ・ゼロ――初段を目指して……S.P.
bit 1989年09月号,18,超並列計算機DAP……湯浅太一，青柳勝栄
bit 1989年09月号,26,並列計算機 ADENA……野木達夫
bit 1989年09月号,47,まにゅある倶楽部㉘ こうすればよくなる……塀内崇平
bit 1989年09月号,48,米国主要大学におけるキャンパス・ネットワーキング④ スクンフォード大学(後編)……川添良幸，静谷啓樹
bit 1989年09月号,62,単語帖――フィボナッチ数，8クイーン問題，固定小数点，アッカーマン関数
bit 1989年09月号,63,bitレーダー
bit 1989年09月号,64,Common Lisp最前線⑤ 漢字化の現状について……元吉文男
bit 1989年09月号,70,プログラムの設計論㉘ RGB指定なんか原始的……戸川隼人
bit 1989年09月号,72,マイコン・トピックス 旅は道連れ世は情け……前田英明
bit 1989年09月号,74,コンピューティングの玉手箱(57) 場合の数……柴田里程
bit 1989年09月号,76,人工知能の研究者たち④ 新世代の理性主義派 渕一博……溝口文雄
bit 1989年09月号,85,7bits ネットワークの泥沼で……THEMSKY
bit 1989年09月号,103,CLUとその仲間たち⑤ CLUでOSを作った話(その2)……久野靖
bit 1989年09月号,110,OS/2入門(完) OS/2のネットワーク機能……石田晴久
bit 1989年09月号,118,10月号予告
bit 1989年09月号,127,日本語の情報化技術⑨ ソフトさの復権 ソフトウェア技術……横井俊夫
bit 1989年09月号,133,bit悪魔の辞典
bit 1989年09月号,134,ナノピコ教室出題(図を書いてみよう)……田中啓介
bit 1989年09月号,136,ナノピコ教室解答(プログラム変換のパズル)……有澤誠
bit 1989年09月号,140,ぶっくす
bit 1989年10月号,1,表紙
bit 1989年10月号,3,目次
bit 1989年10月号,5,どう生かすスーパー・マイクロコンピュータ……高澤嘉光
bit 1989年10月号,6,次世代ヒューマンインタフェースへの期待……田村浩一郎
bit 1989年10月号,18,A.P.エルショフ:私の研究観 部分評価と混合計算について……宮川正弘，二村良彦
bit 1989年10月号,23,11月号予告
bit 1989年10月号,24,エルショフ先生の思い出……宮川正弘
bit 1989年10月号,26,ソ連計算機小史(1950-1975)……宮川正弘
bit 1989年10月号,30,日本語の情報化技術⑩　言葉の壁に挑む――機械翻訳技術……横井俊夫
bit 1989年10月号,36,bit悪魔の辞典
bit 1989年10月号,43,数式処理システムの現状……野寺隆
bit 1989年10月号,53,メインフレーマ4社のニューロ研究体制……栗田昭平
bit 1989年10月号,62,VLSIニューロコンピュータのアーキテクチャ②　ニューロチップ……阿江忠
bit 1989年10月号,71,米国主要大学におけるキャンパス・ネットワーキング⑤ コーネル大学……川添良幸，静谷啓樹
bit 1989年10月号,83,アレフ・ゼロ 究極の技術――廃棄物分析
bit 1989年10月号,84,人工知能の研究者たち⑤ 言語理解からグループテクノロジーへ T.ウイノグラード……溝口文雄
bit 1989年10月号,93,Common Lisp最前線⑥ 日本語Common Windowsについて……古坂孝史
bit 1989年10月号,102,7bits make install……THEMSKY
bit 1989年10月号,115,CLUとその仲間たち⑥ CLUでOSを作った話(その3)……久野靖
bit 1989年10月号,126,マイコン・トピックス 新しい酒には新しい器が……前田英明
bit 1989年10月号,128,プログラムの設計論㉙ ACM SIGGRAPH'89速報……戸川隼人
bit 1989年10月号,130,単語帖――句構造文法，LR，意味解析，形態素
bit 1989年10月号,137,まにゅある倶楽部㉙ マニュアルは時を越えられるか? マニュアルに対する希望的考察……齋木宏己
bit 1989年10月号,138,コンピューティングの玉手箱(58) ファジィ集合とその演算(その1)……馬野元秀
bit 1989年10月号,140,ナノピコ教室 出題(切捨て)……外山芳人
bit 1989年10月号,141,ナノピコ教室 解答(21世紀の交通事情は)……富樫敦
bit 1989年10月号,146,ぶっくす
bit 1989年11月号,1,表紙
bit 1989年11月号,3,目次
bit 1989年11月号,5,情報における「環境問題」……田村浩一郎
bit 1989年11月号,6,「パーソナルUNIXフェスティバル」報告……玄光男，神沼靖子，井門俊治，佐々木正仁
bit 1989年11月号,13,bit悪魔の辞典
bit 1989年11月号,14,TCP/IPによるインターネットワークの作法……村上健一郎
bit 1989年11月号,31,非均質分散システムのOS(前編)……D.Notkin，A.P.Black，E.D.Lazowska，H.M.Levy，J.Sanislo，J.Zahorian，神林靖
bit 1989年11月号,42,Cedarファイル・システム……D.K.Gifford，R.M.Needham，M.D.Schroeder，山本喜一
bit 1989年11月号,57,日本語の情報化技術⑪ 言葉に強い伝達力を テクニカルコミュニケーション技術……横井俊夫
bit 1989年11月号,67,米国主要大学におけるキャンパス・ネットワーキング⑥ シガン大学……川添良幸，静谷啓樹
bit 1989年11月号,85,7bits 絵をかくこと，プログラムをかくこと……THEMSKY
bit 1989年11月号,94,マイコン・トピックス とかくハードデイスクは……前田英明
bit 1989年11月号,96,プログラムの設計論㉚ OAにAIは必要ないか……戸川隼人
bit 1989年11月号,98,アレフ・ゼロ――ブラインドクッチ考
bit 1989年11月号,107,Common Lisp最前線(完) PCL abstract LAP……増田佳弘
bit 1989年11月号,117,まにゅある倶楽部㉚ 上手な設計=よいマニュアル……AKAJ
bit 1989年11月号,118,人工知能の研究者たち⑥ 認知科学/工学の推進者 D.A.ノ一マン……溝口文雄
bit 1989年11月号,128,CLUとその仲間たち⑦ CLUから分散ブログラミングへ……久野靖
bit 1989年11月号,135,単語帖――ルーブ，サーチ，バブルソート，ヒープソート，クイックソート，B木
bit 1989年11月号,136,コンピューティングの玉手箱(59) ハッシュ法の基礎(1)……田辺幸子，永田守男
bit 1989年11月号,138,bitレーダー
bit 1989年11月号,145,VLSIニューロコンピュータのアーキテクチャ③ 多層ニューラルネットワーク……阿江忠
bit 1989年11月号,153,ナノピコ教室出題(ソフトウェヤーサンの取引き)……竹内郁雄，山崎憲一
bit 1989年11月号,153,12月号予告
bit 1989年11月号,154,ナノピコ教室解答(2進10進変換と多倍長計算)……高澤嘉光
bit 1989年11月号,158,ぶっくす
bit 1989年12月号,1,表紙
bit 1989年12月号,3,目次
bit 1989年12月号,5,コンセプトの明確化……辻井潤一
bit 1989年12月号,6,特集 ワーム・ストーリー インターネット・ワーム事件の全容 危機とその余波……E.H.Spafford，天海良治
bit 1989年12月号,19,顕微鏡とピンセットを用いて：MITから見たワーム……J.A.Rochlis.M.W.Eichin 松方純
bit 1989年12月号,34,パスワード破り：機知に富んだゲーム……D.Seeley，村上健一
bit 1989年12月号,41,1月号予告
bit 1989年12月号,41,bit悪魔の辞典
bit 1989年12月号,42,コーネル大学委員会より:モリスとネットワーク・ワーム Eisenberg，D.Gries，J.Hartmanis，D.Holcomb，S.Lynn，T.Santoro，梅村恭司
bit 1989年12月号,46,7bits 止まれ！
bit 1989年12月号,59,米国主要大学におけるキャンパス・ネットワーキング⑦ ウェスレーアン大学……川添良幸，静谷啓樹
bit 1989年12月号,73,アレフ・ゼロ サンフランシスコ会議と地震と
bit 1989年12月号,74,人工知能の研究者たち⑦ 米国人工知能学会のプレジデント D.G.ボブロウ……溝口文雄
bit 1989年12月号,84,日本語の情報化技術(完) 言語産業論……横井俊夫
bit 1989年12月号,90,まにゅある倶楽部㉛ 「人間の行動科学」について……小林図南
bit 1989年12月号,97,CLUとその仲間たち(完) CLUとオブジェクト指向……久野靖
bit 1989年12月号,106,マイコン・トピックス この夏突然に……前田英明
bit 1989年12月号,108,VLSIニューロコンピュータのアーキテクチャ④ ホップフィールド・ニューラルネットワーク……阿江忠
bit 1989年12月号,116,非均質分散システムのOS(後編)……D.Notkin，A.P.Black，E.D.Lazowska，H.M.Levy，J.Sanislo，J.Zahorian，神林靖
bit 1989年12月号,135,単語帖 圏諭，木，DES，IEEE
bit 1989年12月号,136,プログラムの設計論㉛ 零の発見……戸川隼人
bit 1989年12月号,138,コンピューティングの玉手箱(60) TEXの数式コマド(連分数)……I.Aredon
bit 1989年12月号,140,bitレーダー
bit 1989年12月号,141,ナノピコ教室出題(芸術品プログラムをもとむ)……有澤誠
bit 1989年12月号,142,ナノピコ教室解答(図を書いてみよう)……田中啓介
bit 1989年12月号,147,ぶっくすAppendix――コンピュータ出版界は辞典ブーム?!
bit 1989年12月号,148,ぶっくす
bit 1989年12月号,151,bit1989年（Vol.21，No.1～14）総目次
bit 1990年01月号,1,表紙
bit 1990年01月号,3,目次
bit 1990年01月号,5,本当に人手不足だけなのか?……菅野文友
bit 1990年01月号,6,ケン・トンプソン氏に聞く……石田晴久，村井純，小暮博道
bit 1990年01月号,18,タンデムのCyclone，DECのVAX900発表で熾烈化するメインフレーム市場……栗田昭平
bit 1990年01月号,22,bit悪魔の辞典
bit 1990年01月号,23,7bits 間違いさがし……THEMSKY
bit 1990年01月号,33,アレフ・ゼロ 世間噺……S.P.
bit 1990年01月号,34,マイコン・トピックス TOPS.TOPS.TOPS……前田英明
bit 1990年01月号,36,単語帖 Linda，インタフェースビルダ，ネームサーバ，メーリングリスト
bit 1990年01月号,41,米国主要大学におけるキャンパス・ネットワーキング ダートマス大学⑧……川添良幸，静谷啓樹
bit 1990年01月号,62,人工知能の研究者たち⑧ ロジック・プログラミングの闘士R.A.コワルスキー……溝口文雄
bit 1990年01月号,71,新連載 マイケルジャクソンのシステム開発法 CASEの哲学のために① JSD法の背景……有澤誠
bit 1990年01月号,85,ソフトウェア探訪① 新しいフトオムウェアを求めて……高橋三雄
bit 1990年01月号,86,ESPerへの道 論理型オブジェクト指向言語ESP① ESPの生い立ち……近山隆
bit 1990年01月号,94,ニューラルネット国際会議(IJCNN-89)報告記……堤一義
bit 1990年01月号,104,2月号予告
bit 1990年01月号,105,システム救急箱① 銀行合の影響は?……川辺良和
bit 1990年01月号,106,プログラムの設計論㉜ フォントはもっとソフトでありたい……戸川隼人
bit 1990年01月号,108,コンピューティングの玉手箱(61) ハッシュ法の基礎(2)……田辺幸子，永田守男
bit 1990年01月号,110,ソフトウェア信頼性入門:考え方とモデル……山田茂，尾崎俊治
bit 1990年01月号,123,VLSIニューロコンピュータのアーキテクチャ⑤ グループ連想方式……阿江忠
bit 1990年01月号,133,bitレーダー
bit 1990年01月号,134,ナノピコ教室解答(切捨て)……外山芳人
bit 1990年01月号,136,ぶっくす
bit 1990年02月号,1,表紙
bit 1990年02月号,3,目次
bit 1990年02月号,5,21世紀の計算パラダイムを求めて……所真理雄
bit 1990年02月号,6,学術研究者用ネットワーク WIDEプロジェクト……村井純
bit 1990年02月号,15,学術情報ネットワークの現状と展望……浅野正一郎，飯田記子
bit 1990年02月号,22,BITNETの概要と日本の現状……静谷啓樹，川添良幸
bit 1990年02月号,33,米国におけるスーパーコンピュータ・ネットワーク……堀口進
bit 1990年02月号,42,アラン・ケイの講演 マルチメディア国際会議'89から……大座畑重光
bit 1990年02月号,46,離散的アルゴリズムと計算量についての国際研究集会……野崎昭弘
bit 1990年02月号,48,マイコン・トピックス Transputer花盛り……前田英明
bit 1990年02月号,50,ソフトウェア探訪② マルチメディアの世界を垣間見る……高橋三雄
bit 1990年02月号,52,アレフ・ゼロ 天才か調和か……JRG
bit 1990年02月号,57,システム救急箱② システムトラブル考(1)……川辺良和
bit 1990年02月号,58,対談:オブジェクト指向新時代にのぞんで……グレゴー・キザレス，井田昌之
bit 1990年02月号,67,単語帖 InterViews，sh，フレーム・モデル，scheme
bit 1990年02月号,68,プログラムの設計論㉝ Dyna Map……戸川隼人
bit 1990年02月号,70,コンピューティングの玉手箱(62) ファジイ集合とその演算(その2)……馬野元秀
bit 1990年02月号,72,bitレーダー
bit 1990年02月号,77,7bits 並列計算に関する99の誤解……THEMSKY
bit 1990年02月号,85,ESPerへの道 論理型オブジェクト指向言語ESP② はじめの一歩……中澤修，近山隆
bit 1990年02月号,92,3月号予告
bit 1990年02月号,99,人工知能の研究者たち⑨ 知識工学革命 E.A.ファイゲンベウム……溝口文雄
bit 1990年02月号,108,VLSIニューロコンピュータのアーキテクチャ⑥ バートウェア実現したプロトタイプ機……阿江忠
bit 1990年02月号,126,マイケル ジャクソンのシステム開発法 CASEの哲学のために② JSD法実際(1)……山﨑利治
bit 1990年02月号,132,bit悪魔の辞典
bit 1990年02月号,133,ナノピコ教室解答(ソフトウェヤーサンの取引き)……竹内郁雄，山崎憲一
bit 1990年02月号,138,ぶっくす
bit 1990年03月号,1,表紙
bit 1990年03月号,3,目次
bit 1990年03月号,5,学術・研究ネットワーク……浅野正一郎
bit 1990年03月号,6,1988年度ACMチューリング賞 受賞者Ivan E.Sutherland氏へのインタビュー……Karen A.Frenkel，富田眞治，森眞一郎，久我守弘
bit 1990年03月号,18,受賞記念講演 マイクロパイプライン……Ivan E.Sutherland，富田眞治，村上和彰
bit 1990年03月号,45,アレフ・ゼロ 夕ラチネ……S.P.
bit 1990年03月号,46,ソフトウェア探訪③ パソコン上のAI……高橋三雄
bit 1990年03月号,48,7bits そんなに強く縛らないで……THEMSKY
bit 1990年03月号,56,bit悪魔の辞典
bit 1990年03月号,61,システム救急箱③ システムトラブル考(2)……川辺良和
bit 1990年03月号,62,パネル討論会 新しい情報概念を探る エントロピーとしての情報概念を超えて……土屋俊，栗本慎一郎，佐和隆光，橋田浩一，村上陽一郎
bit 1990年03月号,74,人工知能の研究者たち⑩ 育ちゆく若き獅子 W.J.クランシー……溝口文雄
bit 1990年03月号,83,単語帖――グループウェア，ダイナミックリンク，パターンマッチング言語，scopeとextent
bit 1990年03月号,84,VLSIニューロコンピュータのアーキテクチャ⑦ 連想をコントロールするアルゴリズム……阿江忠
bit 1990年03月号,92,４月号予告
bit 1990年03月号,99,米国主要大学におけるキャンパス・ネットワーキング⑨ レンセラー工科大学……川添良幸，静谷啓樹
bit 1990年03月号,112,マイコン・トピックス マルチメディア時代の幕開き……前田英明
bit 1990年03月号,114,bitレーダー
bit 1990年03月号,121,ESPerへの道 論理型オブジェクト指向言語ESP③ 清濁合わせ飲む……中澤修，近山隆
bit 1990年03月号,130,プログラムの設計論㉞ バスに例えると何ですか?……戸川隼人
bit 1990年03月号,132,コンピューティングの玉手箱(63) ボルツマンマシンとNクイーン問題……秋山泰，梶浦正浩
bit 1990年03月号,134,マイケル ジャクソンのシステム開発法 CASEの哲学のために③ JSD法の実際(2)……山﨑利治
bit 1990年03月号,141,ナノピコ教室解答(芸術品プログラムをもとむ)……有澤誠
bit 1990年03月号,146,ぶっくす
bit 1990年04月号,1,表紙
bit 1990年04月号,3,目次
bit 1990年04月号,5,科学と社会……金田康正
bit 1990年04月号,6,フレーム問題とは何でないか 情報の分性について(その2)……松原仁，橋田浩一
bit 1990年04月号,19,マルチメディア化にいくらかかるか 1990年代の課題……石田晴久
bit 1990年04月号,28,VLSIニューロコンピュータのアーキテクチャ⑧ シグモイド関数について……阿江忠
bit 1990年04月号,36,bit悪魔の辞典
bit 1990年04月号,43,アレフ・ゼロ――アメリカの崩壊……JRG
bit 1990年04月号,44,ワシントンUNIX小見聞録 UniFormとUSENIX……鈴木重徳
bit 1990年04月号,46,米国主要大学におけるキャンパス・ネットワーキング⑩ ミネソタ大学……川添良幸，静谷啓樹
bit 1990年04月号,63,単語帖 ダイナブック，属性文法プログラミンク，メール・ゲートウェイ，SNMP
bit 1990年04月号,64,ピラミッド・アーキテクチャとそのアルゴリズム……梅尾博司
bit 1990年04月号,74,人工知能の研究者たち⑪ 人工知能の創始者 J.マッカーシ……溝口文雄
bit 1990年04月号,84,7 bits プログラム+プログラム=プログラム……THEMSKY
bit 1990年04月号,101,GPCCウルトラ・ナノピコ問題 アブストラント ボードゲーム「マクベス」……南雲夏彦
bit 1990年04月号,104,マイケルジャクソンのシステム開発法 CASEの哲学のために④ JSD法の実際(3)……山﨑利治
bit 1990年04月号,112,マイコン・トピックス Thread CodingとCASE……前田英明
bit 1990年04月号,114,ソフトウェア探訪④ 増えてきたディケットつき教科書……高橋三雄
bit 1990年04月号,116,システム救急箱④ システムトラブル考(3)……川辺良和
bit 1990年04月号,123,bitレーダー
bit 1990年04月号,124,プログラムの設計論㉟ バックアップ……戸川隼人
bit 1990年04月号,126,コンピューティングの玉手箱(64) ファジィ集合とその演算(その3)……馬野元秀
bit 1990年04月号,128,ESPerへの道 論理型オブジェクト指向言語ESP④ ちょっと後戻り……中澤修，近山隆
bit 1990年04月号,137,５月号予告
bit 1990年04月号,138,ぶっくす
bit 1990年05月号,1,表紙
bit 1990年05月号,3,目次
bit 1990年05月号,5,理論計算機科学……西関隆夫
